Filename,Camera,Site,Model,SerialNo,DateTimeOriginal,DateTime,Date,Time,Sequence,Flash,Latitude,Longitude,Ta,Species,TriggerMode,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,
IMG_0681.JPG,W01,PL,H600HG06182820,,2014/04/08 19:22:36,2014/04/08 19:22:36,8/04/2014,7:22:36 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1141.JPG,B12,PL,H600HG05182145,,2014/04/08 19:22:50,2014/04/08 19:22:50,8/04/2014,7:22:50 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_4001.JPG,B01,PL,H600HG06182708,,2014/04/08 21:54:16,2014/04/08 21:54:16,8/04/2014,9:54:16 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,PRE,TRAIL,
IMG_2781.JPG,W04,PL,H600HG05182327,,2014/04/08 22:02:09,2014/04/08 22:02:09,8/04/2014,10:02:09 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2791.JPG,W04,PL,H600HG05182327,,2014/04/08 22:03:27,2014/04/08 22:03:27,8/04/2014,10:03:27 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1611.JPG,B11,PL,H600HG06182719,,2014/04/08 22:28:58,2014/04/08 22:28:58,8/04/2014,10:28:58 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1831.JPG,MG02,PL,H600HG06182846,,2014/04/08 22:53:43,2014/04/08 22:53:43,8/04/2014,10:53:43 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1681.JPG,W07,PL,H600HG05181655,,2014/04/09 03:08:57,2014/04/09 03:08:57,9/04/2014,3:08:57 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1691.JPG,W07,PL,H600HG05181655,,2014/04/09 05:06:43,2014/04/09 05:06:43,9/04/2014,5:06:43 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1241.JPG,B13,PL,H600HG05181639,,2014/04/09 20:58:37,2014/04/09 20:58:37,9/04/2014,8:58:37 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1701.JPG,W07,PL,H600HG05181655,,2014/04/09 21:10:21,2014/04/09 21:10:21,9/04/2014,9:10:21 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0701.JPG,W01,PL,H600HG06182820,,2014/04/10 18:17:23,2014/04/10 18:17:23,10/04/2014,6:17:23 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
